number,status,operator,company_name,gateway_id,provisioned_date,number_type
9152001212,active,Airtel,Acme Retail Pvt Ltd,470,2024-01-15,transactional
8100881008,suspended,Jio,Acme Retail Pvt Ltd,470,2024-02-20,promotional
9152004488,active,IDEA,Acme Retail Pvt Ltd,470,2024-02-28,Toll free
9152007733,active,Airtel,Acme Retail Pvt Ltd,470,2024-05-06,Dedicated Incoming SMS
9223071030,active,IDEA,Beta Logistics Ltd,531,2024-03-01,transactional
9876543210,active,Airtel,Beta Logistics Ltd,531,2024-04-12,transactional
9223078812,inactive,BSNL,Beta Logistics Ltd,531,2023-10-19,promotional
9223074455,active,TATA,Beta Logistics Ltd,531,2024-06-21,did
8800112233,active,Jio,Cirrus Fintech Pvt Ltd,612,2024-01-08,transactional
8800119977,active,Airtel,Cirrus Fintech Pvt Ltd,612,2024-03-17,Toll free
8800115566,suspended,IDEA,Cirrus Fintech Pvt Ltd,612,2024-07-30,promotional
9988776655,inactive,Jio,Delta Health Services Ltd,704,2023-12-05,promotional
9988771122,inactive,Airtel,Delta Health Services Ltd,704,2023-12-05,transactional
9123456789,active,Airtel,Everest EdTech Pvt Ltd,815,2023-08-30,transactional
9123454422,active,TATA,Everest EdTech Pvt Ltd,815,2024-02-14,Dedicated Missed call
9123458899,active,Jio,Everest EdTech Pvt Ltd,815,2024-04-02,transactional
7700334455,suspended,BSNL,Frontier Travel Ltd,926,2024-03-11,promotional
7700338866,suspended,Airtel,Frontier Travel Ltd,926,2024-03-11,transactional
9330012345,active,IDEA,Gamma Media Networks Pvt Ltd,1043,2024-04-25,promotional
9330016789,active,Jio,Gamma Media Networks Pvt Ltd,1043,2024-05-19,Toll free
9330019900,active,Airtel,Gamma Media Networks Pvt Ltd,1043,2024-08-07,did
8455221100,active,Airtel,Horizon Bank Ltd,1157,2024-06-15,transactional
8455223344,active,TATA,Horizon Bank Ltd,1157,2024-06-15,Dedicated Incoming SMS
8455227788,active,Jio,Horizon Bank Ltd,1157,2024-09-01,Toll free
8455229911,inactive,IDEA,Horizon Bank Ltd,1157,2024-10-12,promotional
7011445566,inactive,BSNL,Indus Grocers Pvt Ltd,1268,2024-07-28,promotional
7011449988,inactive,Jio,Indus Grocers Pvt Ltd,1268,2024-07-28,transactional
9660112233,active,Airtel,Juno Mobility Pvt Ltd,1390,2024-09-20,transactional
9660117744,active,IDEA,Juno Mobility Pvt Ltd,1390,2024-10-05,did
9660119955,active,TATA,Juno Mobility Pvt Ltd,1390,2024-11-11,Dedicated Missed call
8178898636,inactive,TATA,Kinetic Sports Pvt Ltd,1493,2023-06-25,promotional
7976025454,active,Airtel,Kinetic Sports Pvt Ltd,1493,2023-02-13,promotional
9941527986,active,Airtel,Kinetic Sports Pvt Ltd,1493,2024-03-26,Toll free
7530185152,active,IDEA,Kinetic Sports Pvt Ltd,1493,2025-03-30,transactional
8610838915,suspended,Airtel,Kinetic Sports Pvt Ltd,1493,2025-09-19,transactional
6562710233,active,Jio,Lumen Energy Ltd,1555,2025-04-07,Toll free
9227549807,active,Airtel,Lumen Energy Ltd,1555,2024-07-04,Toll free
6419180418,active,TATA,Lumen Energy Ltd,1555,2024-08-27,transactional
8604678973,active,Jio,Lumen Energy Ltd,1555,2025-01-03,transactional
9780180070,active,BSNL,Lumen Energy Ltd,1555,2024-10-31,transactional
8418918285,active,TATA,Lumen Energy Ltd,1555,2023-10-07,transactional
7303832348,suspended,IDEA,Lumen Energy Ltd,1555,2024-01-30,promotional
7702240318,active,Airtel,Meridian Insurance Pvt Ltd,1639,2023-10-26,transactional
9942886387,active,Airtel,Meridian Insurance Pvt Ltd,1639,2024-08-08,promotional
7412701289,active,Airtel,Meridian Insurance Pvt Ltd,1639,2024-08-27,Toll free
8362354833,active,TATA,Meridian Insurance Pvt Ltd,1639,2025-09-06,promotional
6313635196,inactive,Jio,Meridian Insurance Pvt Ltd,1639,2025-10-23,promotional
7287151763,inactive,IDEA,Meridian Insurance Pvt Ltd,1639,2025-10-03,promotional
9324809129,active,Jio,Nimbus Cloud Services Ltd,1687,2023-06-18,promotional
8110437860,active,Airtel,Nimbus Cloud Services Ltd,1687,2023-05-30,did
8901007285,active,Airtel,Nimbus Cloud Services Ltd,1687,2023-10-25,did
9799400729,active,Jio,Nimbus Cloud Services Ltd,1687,2025-08-10,transactional
9989905906,inactive,Airtel,Orbit Payments Pvt Ltd,1740,2025-10-13,promotional
8218521863,suspended,TATA,Orbit Payments Pvt Ltd,1740,2023-11-09,did
7819178098,suspended,Airtel,Orbit Payments Pvt Ltd,1740,2025-12-12,transactional
8746379857,active,Airtel,Orbit Payments Pvt Ltd,1740,2024-08-18,Toll free
7270502488,inactive,TATA,Pinnacle Realty Ltd,1783,2024-09-01,promotional
9669312114,inactive,Airtel,Pinnacle Realty Ltd,1783,2023-04-30,Dedicated Missed call
9726775405,suspended,Airtel,Pinnacle Realty Ltd,1783,2024-04-06,transactional
8828472504,active,IDEA,Pinnacle Realty Ltd,1783,2024-11-24,Dedicated Missed call
7511192492,suspended,Airtel,Pinnacle Realty Ltd,1783,2025-06-17,promotional
9882007125,inactive,BSNL,Pinnacle Realty Ltd,1783,2024-03-09,promotional
8881768825,active,Airtel,Quasar Analytics Pvt Ltd,1818,2025-05-06,transactional
8677706465,active,TATA,Quasar Analytics Pvt Ltd,1818,2023-02-08,promotional
9103114741,active,BSNL,Quasar Analytics Pvt Ltd,1818,2023-03-01,did
8847353460,suspended,BSNL,Quasar Analytics Pvt Ltd,1818,2024-06-28,did
6897934784,active,Airtel,Quasar Analytics Pvt Ltd,1818,2024-07-03,Dedicated Incoming SMS
7796382879,active,Airtel,Quasar Analytics Pvt Ltd,1818,2024-07-25,Toll free
6992431562,active,TATA,Quasar Analytics Pvt Ltd,1818,2024-12-29,promotional
9464302074,active,IDEA,Radiant Pharma Ltd,1895,2023-03-03,transactional
7834427929,active,BSNL,Radiant Pharma Ltd,1895,2024-05-13,transactional
9549436754,active,BSNL,Radiant Pharma Ltd,1895,2023-05-06,promotional
8676413003,active,BSNL,Radiant Pharma Ltd,1895,2023-08-21,transactional
8115080403,active,Airtel,Summit Auto Pvt Ltd,1977,2025-07-07,Toll free
9284510670,active,BSNL,Summit Auto Pvt Ltd,1977,2023-10-26,Toll free
6231612077,active,Jio,Summit Auto Pvt Ltd,1977,2023-10-18,Dedicated Incoming SMS
8684636706,active,IDEA,Summit Auto Pvt Ltd,1977,2023-06-08,promotional
8744624704,active,Jio,Summit Auto Pvt Ltd,1977,2024-06-26,transactional
6260821003,active,IDEA,Tandem Staffing Ltd,2045,2025-12-18,promotional
8144086461,active,IDEA,Tandem Staffing Ltd,2045,2024-07-26,promotional
8231907174,active,IDEA,Tandem Staffing Ltd,2045,2025-12-17,transactional
9231107422,inactive,Jio,Tandem Staffing Ltd,2045,2024-08-29,transactional
6888347066,active,Jio,Tandem Staffing Ltd,2045,2024-03-02,promotional
6402009758,active,IDEA,Umbra Security Pvt Ltd,2110,2025-10-27,Dedicated Missed call
8386412596,active,Jio,Umbra Security Pvt Ltd,2110,2023-01-11,did
8399961342,inactive,BSNL,Umbra Security Pvt Ltd,2110,2024-06-25,Dedicated Missed call
9544408144,active,BSNL,Umbra Security Pvt Ltd,2110,2024-10-10,promotional
7324862993,inactive,IDEA,Umbra Security Pvt Ltd,2110,2025-04-02,did
8286482415,suspended,Jio,Vertex Foods Ltd,2168,2023-06-26,did
7993202491,inactive,BSNL,Vertex Foods Ltd,2168,2024-08-16,transactional
7506299851,active,BSNL,Vertex Foods Ltd,2168,2024-05-30,transactional
7794487201,suspended,Airtel,Westline Shipping Pvt Ltd,2227,2025-07-31,transactional
9847144827,inactive,IDEA,Westline Shipping Pvt Ltd,2227,2024-01-16,Dedicated Missed call
8826587582,active,TATA,Westline Shipping Pvt Ltd,2227,2023-05-03,transactional
8820446091,active,TATA,Westline Shipping Pvt Ltd,2227,2023-11-28,promotional
6231814808,active,Airtel,Westline Shipping Pvt Ltd,2227,2025-09-20,Toll free
7475311983,suspended,Jio,Westline Shipping Pvt Ltd,2227,2024-08-01,Toll free
8649852913,active,TATA,Westline Shipping Pvt Ltd,2227,2024-07-30,did
8387632581,active,TATA,Xenon Telecom Ltd,2307,2025-11-16,transactional
6215746754,active,BSNL,Xenon Telecom Ltd,2307,2023-09-18,transactional
9456466528,suspended,BSNL,Xenon Telecom Ltd,2307,2025-01-14,transactional
